Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost
18,CA-1018,2025-06-23,2025-05-02,First Class,CUST-253,USA,East Sarahmouth,Illinois,58999,Sugar,East,P-012,Hair Toffee,482,7,109,373
19,CA-1019,2025-04-08,2025-04-09,Standard Class,CUST-169,USA,Jeanetteburgh,Ohio,51279,Sugar,Central,P-006,Laffy Taffy,477,14,86,391
20,CA-1020,2025-06-11,2025-09-13,Second Class,CUST-012,USA,New Jennifer,Hawaii,96442,Sugar,West,P-011,Everlasting Gobstopper,133,8,42,91
21,CA-1021,2025-06-04,2025-06-09,Second Class,CUST-158,USA,East Anthonyview,South Dakota,18488,Sugar,East,P-008,Nerds,878,28,714,164
22,CA-1022,2025-10-19,2025-05-20,Second Class,CUST-091,USA,East Bruce,Maryland,41032,Sugar,South,P-008,Nerds,754,24,372,382
23,CA-1023,2025-10-07,2025-10-14,Standard Class,CUST-090,USA,Washingtonfurt,Nevada,41083,Chocolate,West,P-005,Wonka Bar - Triple Dazzle Caramel,476,6,416,60
24,CA-1024,2025-06-07,2025-09-11,First Class,CUST-270,USA,Lake James,Tennessee,45045,Other,Central,P-010,Fizzy Lifting Drinks,282,30,26,256
25,CA-1025,2025-08-22,2025-05-10,Standard Class,CUST-293,USA,Kerrville,Maryland,37479,Chocolate,South,P-005,Wonka Bar - Triple Dazzle Caramel,963,25,712,251
26,CA-1026,2025-09-27,2025-05-18,Standard Class,CUST-008,USA,North Courtneyburgh,Idaho,75143,Other,East,P-013,Lickable Wallpaper,141,26,68,73
27,CA-1027,2025-10-22,2025-09-01,First Class,CUST-079,USA,Monroeside,West Virginia,58028,Chocolate,West,P-001,Wonka Bar - Nutty Crunch Surprise,221,15,49,172
28,CA-1028,2026-02-05,2025-07-08,Standard Class,CUST-246,USA,Fordberg,Nevada,80771,Other,South,P-010,Fizzy Lifting Drinks,592,23,378,214
29,CA-1029,2025-08-04,2025-09-08,Second Class,CUST-184,USA,East Sarahburgh,West Virginia,96884,Other,West,P-015,Kazookles,582,25,463,119
30,CA-1030,2026-02-17,2025-09-28,Second Class,CUST-273,USA,Hamiltonshire,Maryland,26762,Sugar,Central,P-008,Nerds,726,19,129,597
31,CA-1031,2025-05-19,2025-11-19,Second Class,CUST-095,USA,New Brian,Tennessee,21565,Chocolate,Central,P-003,Wonka Bar - Scrumdiddlyumptious,651,11,215,436
32,CA-1032,2025-11-03,2026-01-05,First Class,CUST-191,USA,New Andrea,Alaska,33211,Chocolate,East,P-005,Wonka Bar - Triple Dazzle Caramel,854,15,452,402
33,CA-1033,2026-03-09,2025-10-01,Standard Class,CUST-087,USA,North Lucastown,South Carolina,63794,Sugar,East,P-012,Hair Toffee,160,23,56,104
34,CA-1034,2025-04-30,2026-03-21,First Class,CUST-166,USA,East Michelefort,Rhode Island,54891,Sugar,East,P-007,SweeTARTS,735,20,585,150
35,CA-1035,2026-01-19,2026-02-09,Second Class,CUST-108,USA,Heiditown,New Jersey,68626,Chocolate,East,P-004,Wonka Bar - Milk Chocolate,317,16,227,90
36,CA-1036,2026-03-10,2025-05-02,Second Class,CUST-196,USA,Lake Scottbury,Maine,60848,Other,South,P-015,Kazookles,382,29,234,148
37,CA-1037,2025-05-25,2025-08-01,First Class,CUST-242,USA,Millerport,Alaska,11373,Chocolate,East,P-003,Wonka Bar - Scrumdiddlyumptious,588,20,43,545
38,CA-1038,2025-08-06,2026-02-14,First Class,CUST-235,USA,New Kevinbury,Alabama,69476,Chocolate,West,P-001,Wonka Bar - Nutty Crunch Surprise,825,16,467,358
39,CA-1039,2026-02-04,2025-06-12,First Class,CUST-035,USA,Anitamouth,Alaska,66372,Sugar,South,P-007,SweeTARTS,656,26,294,362
40,CA-1040,2025-07-06,2025-04-01,First Class,CUST-047,USA,Richardsberg,Virginia,37848,Sugar,East,P-007,SweeTARTS,463,9,145,318
41,CA-1041,2025-12-05,2026-03-27,First Class,CUST-249,USA,Davisfort,South Dakota,75041,Chocolate,East,P-002,Wonka Bar - Fudge Mallows,776,15,696,80
42,CA-1042,2025-10-27,2026-01-26,First Class,CUST-033,USA,West Erichaven,Minnesota,09960,Sugar,Central,P-006,Laffy Taffy,327,21,251,76
43,CA-1043,2025-07-06,2025-10-09,Standard Class,CUST-199,USA,Coreymouth,Florida,56018,Chocolate,South,P-001,Wonka Bar - Nutty Crunch Surprise,634,24,146,488
44,CA-1044,2025-05-02,2026-03-14,Second Class,CUST-181,USA,Whiteville,Illinois,92403,Sugar,West,P-012,Hair Toffee,796,24,29,767
45,CA-1045,2026-02-02,2025-10-09,Second Class,CUST-274,USA,South Deanview,Kansas,74196,Other,Central,P-015,Kazookles,730,10,523,207
46,CA-1046,2025-11-20,2025-06-05,First Class,CUST-092,USA,Port Mark,Arizona,64455,Chocolate,South,P-001,Wonka Bar - Nutty Crunch Surprise,200,15,136,64
47,CA-1047,2026-03-05,2025-08-18,Second Class,CUST-299,USA,Wilsonstad,Kentucky,87573,Other,West,P-013,Lickable Wallpaper,862,15,524,338
48,CA-1048,2025-05-14,2025-07-11,Second Class,CUST-194,USA,Jacksonside,Massachusetts,78621,Other,West,P-013,Lickable Wallpaper,828,21,319,509
49,CA-1049,2026-02-20,2026-02-02,Second Class,CUST-023,USA,Kirbyburgh,South Carolina,14756,Sugar,East,P-007,SweeTARTS,948,20,594,354
50,CA-1050,2025-09-23,2025-05-29,Standard Class,CUST-096,USA,New Melissa,Minnesota,05794,Sugar,Central,P-008,Nerds,679,22,344,335
51,CA-1051,2026-02-11,2026-02-10,Second Class,CUST-073,USA,Berryborough,Oregon,64766,Other,South,P-010,Fizzy Lifting Drinks,616,18,549,67
52,CA-1052,2026-01-02,2025-10-06,Second Class,CUST-157,USA,Josephburgh,Arkansas,22829,Chocolate,West,P-001,Wonka Bar - Nutty Crunch Surprise,471,13,89,382
53,CA-1053,2026-03-31,2025-10-14,Second Class,CUST-258,USA,Lake Russellborough,Kentucky,97326,Other,East,P-014,Wonka Gum,296,14,195,101
54,CA-1054,2025-06-14,2025-11-12,Standard Class,CUST-010,USA,Patelburgh,Tennessee,51388,Sugar,South,P-011,Everlasting Gobstopper,118,18,55,63
55,CA-1055,2025-12-10,2025-10-22,Second Class,CUST-086,USA,Marcusland,South Dakota,32398,Sugar,West,P-012,Hair Toffee,181,24,80,101
56,CA-1056,2025-05-12,2025-12-12,Standard Class,CUST-091,USA,Hurleystad,Connecticut,61289,Sugar,South,P-011,Everlasting Gobstopper,510,20,224,286
57,CA-1057,2025-04-29,2025-09-21,Second Class,CUST-143,USA,West Scottton,Nevada,92931,Chocolate,East,P-001,Wonka Bar - Nutty Crunch Surprise,861,19,724,137
58,CA-1058,2025-10-11,2025-04-24,Second Class,CUST-201,USA,North Carlos,Maine,98399,Chocolate,South,P-003,Wonka Bar - Scrumdiddlyumptious,579,7,223,356
59,CA-1059,2025-08-06,2025-07-16,First Class,CUST-221,USA,Jackmouth,Vermont,45091,Chocolate,West,P-002,Wonka Bar - Fudge Mallows,771,12,438,333
60,CA-1060,2025-04-19,2025-12-23,Standard Class,CUST-104,USA,Myersstad,Massachusetts,51186,Chocolate,South,P-001,Wonka Bar - Nutty Crunch Surprise,998,23,431,567
61,CA-1061,2025-10-06,2025-09-19,First Class,CUST-001,USA,Jessicafurt,Florida,44379,Sugar,West,P-007,SweeTARTS,366,8,216,150
62,CA-1062,2025-10-15,2025-11-04,Standard Class,CUST-147,USA,Pruittchester,Missouri,47439,Other,East,P-013,Lickable Wallpaper,321,19,52,269
63,CA-1063,2025-04-23,2025-07-24,First Class,CUST-210,USA,North Rodney,Alaska,65203,Chocolate,West,P-005,Wonka Bar - Triple Dazzle Caramel,673,6,184,489
64,CA-1064,2025-12-19,2025-08-20,Standard Class,CUST-118,USA,Ramoston,New Jersey,73713,Sugar,Central,P-006,Laffy Taffy,156,25,98,58
65,CA-1065,2025-05-25,2025-08-08,Standard Class,CUST-210,USA,Colemanshire,Florida,59487,Chocolate,South,P-005,Wonka Bar - Triple Dazzle Caramel,723,8,410,313
66,CA-1066,2025-11-21,2025-04-08,Second Class,CUST-127,USA,Lake Julian,Kansas,64716,Sugar,West,P-011,Everlasting Gobstopper,524,18,76,448
67,CA-1067,2025-09-28,2025-09-16,Second Class,CUST-093,USA,Lynnberg,Idaho,75391,Sugar,South,P-008,Nerds,843,15,159,684
68,CA-1068,2025-06-05,2025-08-04,Standard Class,CUST-008,USA,South Susanport,Nevada,88924,Other,South,P-013,Lickable Wallpaper,406,26,137,269
69,CA-1069,2025-12-10,2026-02-27,First Class,CUST-283,USA,Zacharyville,Nevada,30125,Sugar,East,P-007,SweeTARTS,757,22,120,637
70,CA-1070,2025-06-01,2025-09-19,Second Class,CUST-208,USA,North Hannahfort,Rhode Island,34569,Sugar,East,P-009,Fun Dip,238,26,153,85
71,CA-1071,2025-09-17,2025-08-19,First Class,CUST-213,USA,East Victorshire,South Carolina,10607,Other,South,P-013,Lickable Wallpaper,607,16,340,267
72,CA-1072,2025-04-02,2026-02-04,First Class,CUST-089,USA,Jayborough,Maine,27554,Other,East,P-010,Fizzy Lifting Drinks,828,24,304,524
73,CA-1073,2025-12-27,2026-04-01,First Class,CUST-075,USA,Michaelchester,Kansas,67639,Sugar,West,P-006,Laffy Taffy,381,21,86,295
74,CA-1074,2026-02-25,2025-05-27,Standard Class,CUST-178,USA,New Carrie,Utah,54770,Sugar,East,P-007,SweeTARTS,773,15,420,353
75,CA-1075,2026-01-03,2025-11-02,Standard Class,CUST-213,USA,Lake Davidfurt,Arizona,93976,Other,West,P-010,Fizzy Lifting Drinks,160,22,54,106
76,CA-1076,2025-07-13,2026-03-14,First Class,CUST-122,USA,Aprilville,New Mexico,87439,Sugar,East,P-008,Nerds,939,27,531,408
77,CA-1077,2025-10-28,2025-10-18,Second Class,CUST-143,USA,Brettside,Mississippi,99282,Sugar,South,P-012,Hair Toffee,889,23,40,849
78,CA-1078,2025-06-21,2025-11-06,First Class,CUST-058,USA,Ericaport,Georgia,90040,Other,West,P-010,Fizzy Lifting Drinks,180,28,22,158
79,CA-1079,2026-02-04,2025-09-11,Second Class,CUST-076,USA,South Melissa,Texas,37515,Sugar,Central,P-011,Everlasting Gobstopper,196,17,114,82
80,CA-1080,2025-04-10,2025-04-28,Second Class,CUST-256,USA,West Darren,Illinois,22702,Chocolate,Central,P-005,Wonka Bar - Triple Dazzle Caramel,594,6,369,225
81,CA-1081,2025-04-30,2026-01-08,First Class,CUST-006,USA,South Ericaton,Ohio,87486,Chocolate,West,P-004,Wonka Bar - Milk Chocolate,107,30,43,64
82,CA-1082,2025-04-10,2026-03-24,Second Class,CUST-092,USA,West Sarafurt,Indiana,28788,Chocolate,South,P-004,Wonka Bar - Milk Chocolate,931,19,143,788
83,CA-1083,2025-09-06,2025-04-13,First Class,CUST-010,USA,Ramirezmouth,California,11027,Sugar,South,P-007,SweeTARTS,298,26,159,139
84,CA-1084,2025-10-11,2025-11-13,Second Class,CUST-215,USA,North Kristenport,Oklahoma,70395,Sugar,East,P-011,Everlasting Gobstopper,290,25,159,131
85,CA-1085,2025-05-12,2026-02-21,Second Class,CUST-180,USA,Lake Jessicastad,Virginia,94502,Chocolate,South,P-004,Wonka Bar - Milk Chocolate,387,30,167,220
86,CA-1086,2025-06-30,2026-02-13,Second Class,CUST-281,USA,Powellshire,Maryland,86226,Chocolate,South,P-002,Wonka Bar - Fudge Mallows,592,20,315,277
87,CA-1087,2025-08-19,2025-05-05,Second Class,CUST-235,USA,Port Kelly,New Jersey,54804,Chocolate,South,P-001,Wonka Bar - Nutty Crunch Surprise,107,25,29,78
88,CA-1088,2026-02-22,2025-05-15,First Class,CUST-090,USA,East Danielchester,Wyoming,86958,Chocolate,South,P-002,Wonka Bar - Fudge Mallows,409,9,79,330
89,CA-1089,2025-04-10,2026-03-01,Standard Class,CUST-078,USA,Kaylafurt,Kentucky,47394,Other,West,P-015,Kazookles,294,25,82,212
90,CA-1090,2026-01-25,2025-05-05,Second Class,CUST-209,USA,Pricemouth,Indiana,75753,Chocolate,West,P-003,Wonka Bar - Scrumdiddlyumptious,613,20,84,529
91,CA-1091,2026-02-28,2026-03-09,Second Class,CUST-172,USA,South Erinshire,Maine,58326,Sugar,West,P-008,Nerds,342,8,267,75
92,CA-1092,2025-08-27,2025-09-22,First Class,CUST-268,USA,South Davidborough,Michigan,34007,Sugar,Central,P-011,Everlasting Gobstopper,1000,27,528,472
93,CA-1093,2025-05-25,2025-05-20,Standard Class,CUST-163,USA,Martineztown,Washington,25516,Other,West,P-013,Lickable Wallpaper,846,25,165,681
94,CA-1094,2025-08-08,2026-03-15,First Class,CUST-244,USA,West Ashleyfurt,Utah,14461,Sugar,West,P-006,Laffy Taffy,502,27,125,377
95,CA-1095,2025-12-22,2026-02-24,First Class,CUST-163,USA,Johnsonton,Wisconsin,09169,Chocolate,East,P-001,Wonka Bar - Nutty Crunch Surprise,245,9,168,77
96,CA-1096,2026-01-07,2025-09-03,Second Class,CUST-017,USA,North Travis,Kentucky,30251,Chocolate,South,P-001,Wonka Bar - Nutty Crunch Surprise,480,22,90,390
97,CA-1097,2026-01-21,2026-02-27,Second Class,CUST-282,USA,North Stephen,Delaware,08586,Chocolate,South,P-004,Wonka Bar - Milk Chocolate,773,16,103,670
98,CA-1098,2025-04-20,2026-03-26,Second Class,CUST-072,USA,Erinville,New Mexico,26654,Other,East,P-010,Fizzy Lifting Drinks,281,10,157,124
99,CA-1099,2025-09-03,2025-08-01,Second Class,CUST-025,USA,Joshuaberg,Delaware,48948,Chocolate,South,P-002,Wonka Bar - Fudge Mallows,878,8,55,823
100,CA-1100,2025-06-18,2025-04-19,Second Class,CUST-277,USA,East Morgan,Maine,23168,Sugar,West,P-006,Laffy Taffy,528,20,244,284
101,CA-1101,2025-05-10,2025-05-14,Second Class,CUST-250,USA,East Tara,Arizona,93549,Chocolate,South,P-004,Wonka Bar - Milk Chocolate,208,26,112,96
102,CA-1102,2025-05-12,2025-08-03,First Class,CUST-204,USA,Michaelland,Michigan,85556,Sugar,West,P-012,Hair Toffee,953,14,183,770
103,CA-1103,2026-03-09,2025-05-16,Standard Class,CUST-103,USA,Richardsonfort,Delaware,37943,Sugar,East,P-006,Laffy Taffy,597,27,266,331
104,CA-1104,2025-08-04,2025-07-22,First Class,CUST-190,USA,South Lindaville,West Virginia,38648,Sugar,West,P-012,Hair Toffee,981,8,779,202
105,CA-1105,2025-11-25,2025-09-01,First Class,CUST-251,USA,Donaldport,Illinois,43982,Sugar,South,P-007,SweeTARTS,812,23,685,127
106,CA-1106,2026-03-03,2025-11-06,First Class,CUST-112,USA,Port Jeanette,Oklahoma,39875,Sugar,West,P-007,SweeTARTS,562,16,448,114
107,CA-1107,2025-09-16,2026-01-14,Standard Class,CUST-297,USA,West Mistyburgh,Montana,65745,Sugar,West,P-009,Fun Dip,906,8,238,668
108,CA-1108,2026-01-19,2025-06-25,First Class,CUST-230,USA,Nguyenport,Arizona,27047,Chocolate,South,P-002,Wonka Bar - Fudge Mallows,151,5,76,75
109,CA-1109,2026-02-07,2025-12-29,Standard Class,CUST-016,USA,South Elizabeth,West Virginia,04217,Sugar,Central,P-011,Everlasting Gobstopper,142,29,82,60
110,CA-1110,2025-09-20,2026-01-12,First Class,CUST-040,USA,New Fernando,North Carolina,95914,Chocolate,South,P-004,Wonka Bar - Milk Chocolate,750,20,438,312
111,CA-1111,2025-09-06,2025-11-01,Standard Class,CUST-048,USA,Georgefort,Vermont,75626,Chocolate,East,P-001,Wonka Bar - Nutty Crunch Surprise,339,23,115,224
112,CA-1112,2025-06-03,2025-10-20,Standard Class,CUST-153,USA,West Georgeton,South Carolina,52169,Other,Central,P-013,Lickable Wallpaper,940,6,391,549
113,CA-1113,2026-02-10,2025-07-30,First Class,CUST-128,USA,Coleshire,Colorado,87728,Other,South,P-015,Kazookles,868,17,328,540
114,CA-1114,2025-04-26,2025-05-15,First Class,CUST-300,USA,Amandachester,New Hampshire,90927,Chocolate,East,P-001,Wonka Bar - Nutty Crunch Surprise,750,5,233,517
115,CA-1115,2026-03-26,2025-08-27,First Class,CUST-160,USA,East Brandontown,Hawaii,47479,Chocolate,Central,P-003,Wonka Bar - Scrumdiddlyumptious,778,13,708,70
116,CA-1116,2025-11-03,2025-11-27,Standard Class,CUST-044,USA,Timothymouth,Kentucky,66646,Other,West,P-013,Lickable Wallpaper,193,13,141,52
117,CA-1117,2026-03-25,2025-04-17,First Class,CUST-111,USA,Byrdfort,New Hampshire,11642,Chocolate,West,P-003,Wonka Bar - Scrumdiddlyumptious,757,13,620,137
118,CA-1118,2026-01-19,2026-02-12,Standard Class,CUST-240,USA,Port Deborahchester,Arkansas,45606,Other,Central,P-014,Wonka Gum,897,28,661,236
119,CA-1119,2026-02-20,2025-05-21,First Class,CUST-218,USA,Port Shelley,Mississippi,80299,Chocolate,West,P-001,Wonka Bar - Nutty Crunch Surprise,697,28,340,357
120,CA-1120,2026-01-22,2025-05-07,Second Class,CUST-166,USA,South Gregoryside,Wyoming,63201,Sugar,Central,P-008,Nerds,606,29,533,73
121,CA-1121,2025-07-22,2025-09-02,Standard Class,CUST-053,USA,Scottport,Ohio,52764,Sugar,South,P-012,Hair Toffee,127,9,49,78
122,CA-1122,2025-08-15,2025-09-29,Second Class,CUST-131,USA,Jacksonchester,Massachusetts,89118,Chocolate,Central,P-002,Wonka Bar - Fudge Mallows,485,12,405,80
123,CA-1123,2025-07-02,2025-11-28,Standard Class,CUST-122,USA,New Thomas,Alaska,23693,Other,Central,P-015,Kazookles,462,19,325,137
124,CA-1124,2025-08-02,2026-03-13,Second Class,CUST-046,USA,West Angelaview,Virginia,34551,Sugar,Central,P-009,Fun Dip,163,21,32,131
125,CA-1125,2025-04-08,2025-08-27,First Class,CUST-288,USA,Lake Craigmouth,Texas,10633,Sugar,South,P-012,Hair Toffee,831,7,539,292
126,CA-1126,2025-05-14,2025-07-16,Second Class,CUST-116,USA,Port Jimmy,New Hampshire,25617,Sugar,Central,P-009,Fun Dip,863,22,717,146
127,CA-1127,2025-05-17,2025-05-27,Second Class,CUST-153,USA,Tammyport,California,60144,Other,West,P-010,Fizzy Lifting Drinks,102,17,46,56
128,CA-1128,2026-03-11,2025-08-05,Standard Class,CUST-261,USA,Maxwellton,Hawaii,94045,Sugar,East,P-009,Fun Dip,856,18,291,565
129,CA-1129,2025-08-04,2025-08-03,First Class,CUST-112,USA,New Patrickhaven,Idaho,53543,Other,West,P-010,Fizzy Lifting Drinks,860,12,271,589
130,CA-1130,2025-06-01,2025-07-29,Standard Class,CUST-051,USA,New Johnview,Michigan,56370,Chocolate,East,P-003,Wonka Bar - Scrumdiddlyumptious,847,24,648,199
131,CA-1131,2025-07-27,2025-11-28,Standard Class,CUST-131,USA,East Meghanville,Illinois,52467,Chocolate,West,P-002,Wonka Bar - Fudge Mallows,343,8,186,157
132,CA-1132,2025-12-31,2025-08-14,Second Class,CUST-200,USA,Elizabethberg,Maine,52946,Chocolate,South,P-002,Wonka Bar - Fudge Mallows,889,24,695,194
133,CA-1133,2025-09-28,2025-08-13,Standard Class,CUST-079,USA,West Laurenside,Michigan,57609,Other,West,P-015,Kazookles,244,16,23,221
134,CA-1134,2026-01-05,2026-03-06,First Class,CUST-076,USA,North Juanberg,Georgia,51460,Chocolate,East,P-001,Wonka Bar - Nutty Crunch Surprise,108,8,54,54
135,CA-1135,2025-04-23,2025-05-20,First Class,CUST-080,USA,Munozmouth,Kentucky,48981,Sugar,Central,P-012,Hair Toffee,333,21,233,100
136,CA-1136,2025-06-20,2025-11-12,Standard Class,CUST-176,USA,Meganhaven,Wisconsin,07291,Other,East,P-014,Wonka Gum,615,13,89,526
137,CA-1137,2025-09-23,2025-05-22,Second Class,CUST-300,USA,Shepherdhaven,Nevada,07606,Chocolate,East,P-005,Wonka Bar - Triple Dazzle Caramel,892,29,650,242
138,CA-1138,2025-04-24,2025-05-17,Second Class,CUST-180,USA,Davidview,Washington,22614,Sugar,East,P-012,Hair Toffee,499,10,133,366
139,CA-1139,2025-12-23,2026-01-16,Second Class,CUST-228,USA,Andreaborough,Louisiana,70864,Sugar,Central,P-008,Nerds,556,5,351,205
140,CA-1140,2025-07-13,2025-08-15,Standard Class,CUST-274,USA,East Shannon,Oregon,15546,Sugar,Central,P-008,Nerds,640,11,165,475
141,CA-1141,2025-10-18,2025-05-25,First Class,CUST-170,USA,West Emma,West Virginia,35482,Other,South,P-010,Fizzy Lifting Drinks,977,9,710,267
142,CA-1142,2025-07-24,2025-06-19,Second Class,CUST-019,USA,Johnmouth,Vermont,51951,Sugar,East,P-006,Laffy Taffy,170,6,111,59
143,CA-1143,2026-02-11,2026-03-01,Second Class,CUST-289,USA,Staceytown,Maine,32628,Other,Central,P-013,Lickable Wallpaper,440,6,204,236
144,CA-1144,2025-04-11,2025-11-08,Second Class,CUST-069,USA,Makaylaburgh,Arkansas,77393,Other,South,P-010,Fizzy Lifting Drinks,848,29,532,316
145,CA-1145,2025-12-10,2025-06-22,Second Class,CUST-220,USA,South Tonyamouth,North Carolina,93829,Chocolate,Central,P-001,Wonka Bar - Nutty Crunch Surprise,495,28,286,209
146,CA-1146,2025-05-23,2026-03-31,Second Class,CUST-210,USA,Lake Anaberg,Michigan,37161,Chocolate,Central,P-005,Wonka Bar - Triple Dazzle Caramel,110,24,45,65
147,CA-1147,2026-01-14,2025-09-09,First Class,CUST-050,USA,Craigberg,Kentucky,08163,Sugar,South,P-009,Fun Dip,667,11,35,632
148,CA-1148,2026-01-22,2025-06-11,Standard Class,CUST-276,USA,Ianfort,Maryland,47977,Other,South,P-013,Lickable Wallpaper,355,9,118,237
149,CA-1149,2025-06-13,2025-11-26,Second Class,CUST-103,USA,Wrightshire,New York,57990,Sugar,Central,P-007,SweeTARTS,472,25,253,219
150,CA-1150,2025-07-25,2026-02-19,Standard Class,CUST-139,USA,Lauriemouth,Oklahoma,25350,Other,Central,P-013,Lickable Wallpaper,153,9,79,74
151,CA-1151,2025-09-08,2025-10-13,Standard Class,CUST-143,USA,Johnsonstad,Nebraska,70236,Other,East,P-010,Fizzy Lifting Drinks,671,26,435,236
152,CA-1152,2025-12-14,2025-04-05,Second Class,CUST-094,USA,Edwardbury,Maryland,29286,Other,East,P-013,Lickable Wallpaper,537,20,49,488
153,CA-1153,2025-10-09,2026-01-27,Standard Class,CUST-241,USA,Hannahside,North Dakota,18036,Other,South,P-013,Lickable Wallpaper,157,17,54,103
154,CA-1154,2026-03-03,2025-09-01,First Class,CUST-081,USA,Lake Evan,South Carolina,49435,Sugar,Central,P-011,Everlasting Gobstopper,509,9,87,422
155,CA-1155,2025-09-18,2026-01-07,Second Class,CUST-217,USA,Howellberg,Rhode Island,14226,Sugar,Central,P-007,SweeTARTS,588,23,509,79
156,CA-1156,2025-10-03,2025-09-29,Second Class,CUST-255,USA,Lake Kelseyport,Kentucky,29884,Chocolate,East,P-002,Wonka Bar - Fudge Mallows,211,15,124,87
157,CA-1157,2025-08-29,2025-06-16,Standard Class,CUST-097,USA,Richardfort,New York,92569,Chocolate,West,P-003,Wonka Bar - Scrumdiddlyumptious,907,27,639,268
158,CA-1158,2025-04-30,2025-07-20,Standard Class,CUST-259,USA,North John,New Jersey,39158,Sugar,South,P-012,Hair Toffee,573,10,131,442
159,CA-1159,2025-05-22,2026-02-28,First Class,CUST-199,USA,Nicholasstad,Idaho,84817,Sugar,West,P-006,Laffy Taffy,1000,23,466,534
160,CA-1160,2025-07-14,2025-04-29,Second Class,CUST-125,USA,Wilsonland,North Dakota,76673,Chocolate,East,P-005,Wonka Bar - Triple Dazzle Caramel,886,20,615,271
161,CA-1161,2025-05-16,2025-04-01,Standard Class,CUST-161,USA,Kellyton,Vermont,92337,Sugar,Central,P-011,Everlasting Gobstopper,237,20,175,62
162,CA-1162,2026-02-25,2025-08-27,Second Class,CUST-223,USA,New Melanie,Kansas,47629,Sugar,West,P-007,SweeTARTS,330,28,207,123
163,CA-1163,2025-09-03,2025-07-30,First Class,CUST-238,USA,South Jameston,South Carolina,66047,Sugar,South,P-008,Nerds,977,26,483,494
164,CA-1164,2025-11-26,2026-02-20,Second Class,CUST-239,USA,Lake Richardshire,Delaware,46553,Sugar,West,P-011,Everlasting Gobstopper,727,10,50,677
165,CA-1165,2025-07-07,2025-10-23,Second Class,CUST-235,USA,Leton,Wisconsin,57015,Chocolate,West,P-002,Wonka Bar - Fudge Mallows,529,22,340,189
166,CA-1166,2025-06-29,2025-07-21,First Class,CUST-110,USA,Marthaville,Louisiana,30699,Sugar,West,P-009,Fun Dip,692,17,45,647
